,City,Lat,Lng,Temp,Humidity,Cloudiness,Wind,Country,Date
0,san roque,36.2107,-5.3842,59.0,67,75,13.8,ES,1612551867
1,bengkulu,-3.8004,102.2655,76.48,85,72,4.85,ID,1612551690
2,kozhva,65.1073,57.0459,-8.05,91,99,8.21,RU,1612551867
3,rikitea,-23.1203,-134.9692,78.8,69,0,10.65,PF,1612551794
4,saint-philippe,-21.3585,55.7679,80.6,65,0,5.75,RE,1612551683
5,juneau,58.3019,-134.4197,19.0,86,75,3.44,US,1612551868
6,khatanga,71.9667,102.5,-31.54,79,13,7.99,RU,1612551679
7,provideniya,64.3833,-173.3,6.6,90,100,17.74,RU,1612551868
8,barrow,71.2906,-156.7887,-14.8,76,75,8.05,US,1612551617
9,port alfred,-33.5906,26.891,69.01,94,100,4.0,ZA,1612551630
10,plyussa,58.4308,29.3654,2.52,94,49,5.64,RU,1612551868
11,ushuaia,-54.8,-68.3,50.0,62,75,27.63,AR,1612551790
12,kapaa,22.0752,-159.319,66.2,68,75,4.61,US,1612551868
13,santa maria,-29.6842,-53.8069,75.2,53,75,6.91,BR,1612551716
14,natal,-5.795,-35.2094,86.0,51,0,14.97,BR,1612551868
15,chokurdakh,70.6333,147.9167,-13.09,88,100,13.51,RU,1612551869
16,bluff,-46.6,168.3333,53.19,86,8,4.54,NZ,1612551869
17,hobart,-42.8794,147.3294,64.99,94,90,5.75,AU,1612551620
18,thompson,55.7435,-97.8558,-14.8,70,75,14.97,CA,1612551610
19,punta arenas,-53.15,-70.9167,59.0,38,0,28.77,CL,1612551869
20,madras,13.0878,80.2785,71.6,78,0,10.16,IN,1612551869
21,port elizabeth,-33.918,25.5701,69.8,88,40,13.8,ZA,1612551680
22,hermanus,-34.4187,19.2345,71.01,80,5,3.0,ZA,1612551795
23,albany,42.6001,-73.9662,42.01,57,74,7.11,US,1612551645
24,dunedin,-45.8742,170.5036,55.0,73,99,20.0,NZ,1612551629
25,dikson,73.5069,80.5464,-33.23,84,3,10.29,RU,1612551812
26,the valley,18.217,-63.0578,82.4,69,20,16.11,AI,1612551870
27,atuona,-9.8,-139.0333,79.47,80,14,18.05,PF,1612551637
28,mataura,-46.1927,168.8643,50.41,89,6,1.59,NZ,1612551801
29,nikolskoye,59.7035,30.7861,10.99,78,75,11.18,RU,1612551870
30,adrar,20.5022,-10.0711,71.53,23,26,8.95,MR,1612551870
31,tazovskiy,67.4667,78.7,-37.28,82,7,1.5,RU,1612551870
32,puerto ayora,-0.7393,-90.3518,86.0,66,75,16.11,EC,1612551632
33,lander,42.833,-108.7307,33.8,37,75,3.44,US,1612551871
34,tasiilaq,65.6145,-37.6368,21.2,63,75,5.75,GL,1612551625
35,yellowknife,62.456,-114.3525,-31.0,67,1,9.22,CA,1612551682
36,hilo,19.7297,-155.09,70.0,60,75,4.61,US,1612551871
37,maniitsoq,65.4167,-52.9,14.18,73,81,6.02,GL,1612551871
38,oda,35.1833,132.5,45.52,76,100,13.69,JP,1612551863
39,georgetown,5.4112,100.3354,82.4,83,20,4.45,MY,1612551871
40,chuy,-33.6971,-53.4616,70.48,63,31,13.47,UY,1612551819
41,alofi,-19.0595,-169.9187,75.2,94,100,10.36,NU,1612551621
42,esperance,-33.8667,121.9,57.2,100,75,6.91,AU,1612551871
43,port hardy,50.6996,-127.4199,42.8,87,75,6.91,CA,1612551621
44,avarua,-21.2078,-159.775,82.4,74,93,5.75,CK,1612551872
45,sept-iles,50.2001,-66.3821,36.0,93,100,8.05,CA,1612551722
46,bredasdorp,-34.5322,20.0403,69.8,78,30,6.91,ZA,1612551872
47,sribne,50.6638,32.9187,11.86,96,0,7.31,UA,1612551872
48,east london,-33.0153,27.9116,69.8,100,75,9.22,ZA,1612551872
49,keffi,8.8486,7.8736,91.4,25,0,3.44,NG,1612551873
50,qaanaaq,77.484,-69.3632,-9.67,74,100,7.09,GL,1612551873
51,katherine,-14.4667,132.2667,73.4,100,40,5.75,AU,1612551674
52,bossangoa,6.4926,17.4552,81.66,19,0,4.83,CF,1612551873
53,diego de almagro,-26.3667,-70.05,85.78,16,0,14.47,CL,1612551873
54,verkhoyansk,67.5447,133.385,-32.91,80,100,1.95,RU,1612551694
55,upernavik,72.7868,-56.1549,4.14,74,100,3.36,GL,1612551873
56,kanniyakumari,8.0833,77.5667,76.84,79,0,18.37,IN,1612551873
57,evans,33.5337,-82.1307,59.0,76,90,8.05,US,1612551645
58,nhamunda,-2.1861,-56.7131,94.86,40,3,4.97,BR,1612551874
59,vaini,-21.2,-175.2,77.0,100,40,1.14,TO,1612551874
60,saint-joseph,-21.3667,55.6167,80.6,65,0,5.75,RE,1612551737
61,ponta do sol,32.6667,-17.1,52.0,67,28,7.0,PT,1612551631
62,hasaki,35.7333,140.8333,37.4,87,75,5.75,JP,1612551727
63,victoria point,-27.5833,153.3,73.0,80,51,1.01,AU,1612551662
64,mildura,-34.2,142.15,64.4,59,0,11.5,AU,1612551874
65,woodward,36.4337,-99.3904,53.01,34,1,7.67,US,1612551874
66,vila,42.0304,-8.1588,46.99,93,100,5.64,PT,1612551874
67,lawton,34.6087,-98.3903,55.4,24,1,10.36,US,1612551874
68,cape town,-33.9258,18.4232,71.01,78,0,19.57,ZA,1612551767
69,urengoy,65.9667,78.3667,-26.48,85,100,2.3,RU,1612551875
70,seybaplaya,19.65,-90.6667,84.2,51,1,11.5,MX,1612551875
71,edd,13.9297,41.6925,77.7,49,12,6.49,ER,1612551875
72,bosaso,11.2842,49.1816,73.63,74,5,4.21,SO,1612551875
73,vila velha,-20.3297,-40.2925,89.01,70,20,17.27,BR,1612551607
74,jalu,29.0331,21.5482,57.58,53,0,4.43,LY,1612551875
75,torbay,47.6666,-52.7314,42.01,87,75,17.27,CA,1612551875
76,rapid valley,44.0625,-103.1463,27.0,74,90,12.68,US,1612551876
77,tiksi,71.6872,128.8694,-19.75,88,100,13.35,RU,1612551841
78,fortuna,40.5982,-124.1573,51.01,93,90,5.14,US,1612551876
79,inhambane,-23.865,35.3833,77.0,88,75,5.75,MZ,1612551822
80,eagle pass,28.7091,-100.4995,66.2,52,1,5.75,US,1612551876
81,waingapu,-9.6567,120.2641,78.04,83,100,9.37,ID,1612551876
82,matagami,49.7502,-77.6328,26.6,80,90,13.8,CA,1612551750
83,pisco,-13.7,-76.2167,75.2,69,0,11.5,PE,1612551876
84,ialibu,-6.2821,143.9935,55.9,90,100,2.37,PG,1612551876
85,horadiz,39.4488,47.3353,55.4,58,90,9.22,AZ,1612551877
86,dicabisagan,17.0818,122.4157,73.35,85,66,6.22,PH,1612551877
87,saint-francois,46.4154,3.9054,48.0,87,0,3.44,FR,1612551877
88,plettenberg bay,-34.0527,23.3716,69.21,90,2,3.38,ZA,1612551797
89,lasa,46.6166,10.7002,39.0,86,0,2.91,IT,1612551877
90,najran,17.4924,44.1277,73.4,21,0,6.91,SA,1612551877
91,mayo,38.8876,-76.5119,55.99,62,1,10.36,US,1612551877
92,constitucion,-35.3333,-72.4167,65.17,68,60,6.24,CL,1612551877
93,vangaindrano,-23.35,47.6,79.25,83,100,7.05,MG,1612551877
94,yulara,-25.2406,130.9889,68.0,32,11,9.22,AU,1612551675
95,dengzhou,37.8086,120.7508,41.61,64,0,12.59,CN,1612551878
96,busselton,-33.65,115.3333,59.0,75,100,1.01,AU,1612551789
97,yar-sale,66.8333,70.8333,-22.83,87,100,7.16,RU,1612551834
98,cherskiy,68.75,161.3,-15.18,77,0,3.76,RU,1612551629
99,castro,-24.7911,-50.0119,75.56,53,0,6.42,BR,1612551878
100,ylojarvi,61.5563,23.5961,5.0,78,0,3.44,FI,1612551878
101,pafos,34.7667,32.4167,53.6,82,0,3.44,CY,1612551878
102,omboue,-1.5746,9.2618,79.36,88,100,7.2,GA,1612551807
103,lebu,-37.6167,-73.65,66.27,67,9,13.82,CL,1612551878
104,husavik,66.0449,-17.3389,24.8,68,40,4.61,IS,1612551843
105,bambous virieux,-20.3428,57.7575,80.6,78,40,9.22,MU,1612551879
106,saskylakh,71.9167,114.0833,-25.8,85,95,7.29,RU,1612551848
107,victoria,22.2855,114.1577,64.99,76,0,5.14,HK,1612551816
108,ballina,-28.8667,153.5667,69.8,94,40,4.61,AU,1612551879
109,new norfolk,-42.7826,147.0587,64.99,92,100,3.44,AU,1612551625
110,jamestown,42.097,-79.2353,28.99,63,75,19.57,US,1612551810
111,kashi,39.4547,75.9797,32.0,55,0,11.18,CN,1612551879
112,svetlogorsk,52.6333,29.7333,13.84,96,36,9.51,BY,1612551879
113,buala,-8.145,159.5921,80.24,78,20,10.16,SB,1612551861
114,saint anthony,45.0205,-93.218,10.99,61,75,20.71,US,1612551726
115,ilulissat,69.2167,-51.1,8.6,40,1,16.11,GL,1612551880
116,carnarvon,-24.8667,113.6333,80.6,79,90,23.02,AU,1612551880
117,opuwo,-18.0607,13.84,81.93,34,100,7.7,NA,1612551880
118,rio gallegos,-51.6226,-69.2181,64.4,25,40,26.46,AR,1612551880
119,tottori,35.5,134.2333,42.87,67,100,7.83,JP,1612551880
120,krasnik,50.9236,22.2271,27.0,86,0,2.3,PL,1612551880
121,kaniama,-7.5667,24.1833,69.28,89,75,0.6,CD,1612551880
122,obo,5.3998,26.4869,79.39,20,0,7.25,CF,1612551880
123,cape canaveral,28.4058,-80.6048,78.8,38,1,16.11,US,1612551786
124,pozo colorado,-23.4923,-58.7972,86.92,35,0,7.96,PY,1612551881
125,nove zamky,47.9854,18.1619,45.0,90,100,8.14,SK,1612551881
126,san patricio,28.017,-97.5169,62.6,55,90,13.8,US,1612551807
127,muros,42.7762,-9.0603,54.0,73,100,1.99,ES,1612551881
128,dakar,14.6937,-17.4441,66.2,77,0,19.57,SN,1612551881
129,fuerte olimpo,-21.0415,-57.8738,88.18,38,83,7.72,PY,1612551881
130,altay,47.8667,88.1167,17.44,85,100,3.06,CN,1612551881
131,luderitz,-26.6481,15.1594,73.81,50,0,25.97,NA,1612551882
132,that phanom,16.9364,104.7104,61.27,85,0,5.93,TH,1612551882
133,kailua,21.4022,-157.7394,69.8,64,20,7.65,US,1612551882
134,dingle,10.9995,122.6711,74.71,89,4,6.98,PH,1612551882
135,saldanha,-33.0117,17.9442,68.0,73,0,16.11,ZA,1612551832
136,lavrentiya,65.5833,-171.0,2.07,92,100,17.34,RU,1612551684
137,takoradi,4.8845,-1.7554,80.71,85,0,10.16,GH,1612551850
138,callaway,30.153,-85.5699,66.99,77,75,10.36,US,1612551882
139,terney,45.0503,136.6092,15.21,90,87,5.73,RU,1612551882
140,vestmannaeyjar,63.4427,-20.2734,35.6,87,20,24.16,IS,1612551694
141,ancud,-41.8697,-73.8203,84.2,30,0,9.22,CL,1612551875
142,mbuguni,-3.5667,36.95,82.4,39,40,5.75,TZ,1612551883
143,lodwar,3.1191,35.5973,84.24,38,0,5.75,KE,1612551883
144,kodiak,57.79,-152.4072,24.8,80,40,3.44,US,1612551648
145,port lincoln,-34.7333,135.8667,63.05,78,84,20.47,AU,1612551844
146,clyde river,70.4692,-68.5914,-18.4,76,75,11.5,CA,1612551696
147,kieta,-6.2167,155.6333,79.92,79,10,5.77,PG,1612551883
148,makakilo city,21.3469,-158.0858,69.8,64,40,8.5,US,1612551883
149,paamiut,61.994,-49.6678,21.07,78,0,9.71,GL,1612551668
150,airai,-8.9266,125.4092,61.5,100,100,3.0,TL,1612551808
151,tigil,57.8,158.6667,-7.83,88,68,3.15,RU,1612551884
152,tuktoyaktuk,69.4541,-133.0374,-27.4,68,75,10.36,CA,1612551884
153,burns lake,54.2331,-125.7533,24.8,93,100,4.61,CA,1612551605
154,palmer,42.1584,-72.3287,39.99,81,90,9.22,US,1612551884
155,atar,20.5169,-13.0499,67.86,37,100,7.27,MR,1612551635
156,acarau,-2.8856,-40.12,84.69,58,7,17.11,BR,1612551730
157,mahebourg,-20.4081,57.7,80.6,78,40,9.22,MU,1612551706
158,bathsheba,13.2167,-59.5167,82.4,61,40,21.85,BB,1612551884
159,vytegra,61.0064,36.4481,5.68,92,100,11.27,RU,1612551885
160,bara,10.3744,10.7288,80.58,19,0,11.45,NG,1612551885
161,moose factory,51.2585,-80.6094,30.2,55,20,10.36,CA,1612551885
162,yarada,17.65,83.2667,66.2,77,0,2.3,IN,1612551885
163,kutum,14.2,24.6667,55.67,36,0,11.79,SD,1612551885
164,taoudenni,22.6783,-3.9836,82.22,13,65,9.13,ML,1612551885
165,henties bay,-22.116,14.2845,64.99,89,80,3.0,NA,1612551885
166,bay-khaak,51.1667,94.5,7.21,90,86,0.96,RU,1612551886
167,sedro-woolley,48.5039,-122.2361,48.2,76,75,9.22,US,1612551886
168,balakhninskiy,58.0106,114.2769,-4.4,87,100,1.95,RU,1612551886
169,lagoa,39.05,-27.9833,57.06,82,92,16.44,PT,1612551676
170,khash,28.2211,61.2158,46.0,42,0,1.36,IR,1612551886
171,riyadh,24.6877,46.7219,73.4,14,20,10.36,SA,1612551596
172,alekseyevsk,57.8406,108.3492,-0.83,91,95,4.25,RU,1612551886
173,shahrud,36.4182,54.9763,45.68,56,100,2.19,IR,1612551886
174,aljezur,37.3191,-8.8033,52.0,100,70,1.01,PT,1612551887
175,hofn,64.2539,-15.2082,33.8,80,90,4.61,IS,1612551646
176,marawi,7.9986,124.2928,73.0,92,92,5.01,PH,1612551887
177,harper,4.375,-7.7169,79.9,86,0,6.55,LR,1612551887
178,sur,22.5667,59.5289,64.58,67,0,3.4,OM,1612551748
179,sao filipe,14.8961,-24.4956,71.38,73,3,17.81,CV,1612551887
180,carmelo,-33.9892,-58.2856,79.0,50,0,10.36,UY,1612551887
181,cayenne,4.9333,-52.3333,80.6,83,90,10.36,GF,1612551831
182,faanui,-16.4833,-151.75,81.18,66,9,6.24,PF,1612551862
183,pangnirtung,66.1451,-65.7125,10.4,79,90,9.22,CA,1612551887
184,metro,-5.1131,105.3067,74.12,94,100,7.02,ID,1612551888
185,skjervoy,70.0311,20.9714,32.0,80,75,23.02,NO,1612551888
186,juegang,32.3174,121.1855,40.5,95,0,5.12,CN,1612551888
187,labuhan,-6.8844,112.2051,78.15,86,91,12.21,ID,1612551888
188,iqaluit,63.7506,-68.5145,21.2,79,75,23.02,CA,1612551888
189,cidreira,-30.1811,-50.2056,73.42,64,7,18.59,BR,1612551797
190,aquin,18.2833,-73.4,81.18,67,3,7.11,HT,1612551888
191,pacific grove,36.6177,-121.9166,59.0,54,1,4.61,US,1612551888
192,port hedland,-20.3167,118.5667,77.0,88,40,4.61,AU,1612551854
193,nueva italia de ruiz,19.0167,-102.1,75.2,50,1,11.5,MX,1612551888
194,sao caetano de odivelas,-0.75,-48.02,85.35,65,69,11.65,BR,1612551889
195,balakovo,52.0278,47.8007,23.72,96,97,12.03,RU,1612551889
196,luanda,-8.8368,13.2343,82.4,69,0,9.22,AO,1612551858
197,binzhou,37.3667,118.0167,43.5,52,0,10.0,CN,1612551889
198,cabo san lucas,22.8909,-109.9124,84.0,31,20,4.61,MX,1612551889
199,vientiane,17.9667,102.6,67.73,66,0,5.26,LA,1612551618
200,margate,51.3813,1.3862,46.99,84,0,1.01,GB,1612551651
201,champerico,14.3,-91.9167,86.0,62,40,9.22,GT,1612551626
202,vila franca do campo,37.7167,-25.4333,57.2,67,20,10.36,PT,1612551878
203,riverton,40.5219,-111.9391,36.0,93,90,13.8,US,1612551889
204,kanker,20.2719,81.4931,61.61,29,0,4.5,IN,1612551890
205,sao joao del rei,-21.1356,-44.2617,75.2,69,75,9.22,BR,1612551890
206,maragogi,-9.0122,-35.2225,82.78,64,23,13.49,BR,1612551890
207,sfantu gheorghe,45.8667,25.7833,46.0,83,100,2.24,RO,1612551890
208,phan thiet,10.9333,108.1,71.29,82,2,6.91,VN,1612551890
209,coalinga,36.1397,-120.3602,55.99,55,0,3.24,US,1612551611
210,puerto palomas,31.7667,-107.6167,59.0,25,1,10.36,MX,1612551890
211,skibbereen,51.55,-9.2667,39.2,87,75,11.5,IE,1612551890
212,saint george,37.1041,-113.5841,51.01,33,1,3.38,US,1612551674
213,port macquarie,-31.4333,152.9167,64.99,99,29,10.92,AU,1612551890
214,brae,60.3964,-1.353,33.8,55,90,21.85,GB,1612551891
215,tarnogskiy gorodok,60.4997,43.5761,1.27,92,100,9.48,RU,1612551891
216,taylor,32.3001,-99.8337,57.2,23,1,4.61,US,1612551891
217,saint-augustin,51.226,-58.6502,32.77,96,100,16.78,CA,1612551851
218,vale da amoreira,39.0697,-7.6985,50.0,86,100,1.01,PT,1612551891
219,hornepayne,49.2138,-84.7705,30.24,98,100,2.68,CA,1612551891
220,flinders,-34.5833,150.8552,73.0,85,100,1.99,AU,1612551892
221,aswan,24.0934,32.907,63.68,41,0,14.41,EG,1612551606
222,abu samrah,35.3029,37.1841,51.19,82,0,4.29,SY,1612551891
223,krasnoselkup,65.7,82.4667,-30.91,85,71,4.54,RU,1612551892
224,waipawa,-41.4122,175.5153,57.99,94,75,10.36,NZ,1612551870
225,broken hill,-31.95,141.4333,64.4,55,0,11.5,AU,1612551634
226,vitim,59.4511,112.5578,-5.44,89,100,3.74,RU,1612551892
227,denpasar,-8.65,115.2167,77.0,94,40,5.75,ID,1612551871
228,graham,47.0529,-122.2943,50.0,81,90,4.61,US,1612551892
229,tomatlan,19.9333,-105.25,86.04,46,0,9.93,MX,1612551892
230,laguna,38.421,-121.4238,57.0,58,1,1.59,US,1612551893
231,butaritari,3.0707,172.7902,80.87,83,98,14.72,KI,1612551863
232,chunoyar,57.4467,97.3217,1.54,92,100,4.05,RU,1612551893
233,arraial do cabo,-22.9661,-42.0278,86.0,74,0,8.05,BR,1612551893
234,acara,-1.9608,-48.1967,92.16,44,67,5.32,BR,1612551893
235,bokhan,53.153,103.7714,-1.86,90,100,1.9,RU,1612551893
236,general roca,-39.0333,-67.5833,98.6,15,0,5.75,AR,1612551893
237,narsaq,60.9167,-46.05,21.2,35,1,2.82,GL,1612551641
238,sao jose da coroa grande,-8.8978,-35.1478,82.71,66,0,13.06,BR,1612551893
239,yekaterinoslavka,50.3734,129.1139,-15.74,89,84,4.83,RU,1612551893
240,ewa beach,21.3156,-158.0072,69.8,64,40,5.84,US,1612551894
241,norman wells,65.282,-126.8329,-27.4,75,75,14.97,CA,1612551620
242,deming,32.2687,-107.7586,59.0,25,1,10.36,US,1612551894
243,along,28.1667,94.7667,51.58,60,2,2.3,IN,1612551835
244,benidorm,38.5382,-0.131,62.01,50,100,14.14,ES,1612551894
245,morgan city,29.6994,-91.2068,52.0,66,90,12.66,US,1612551894
246,russell,32.3502,-85.1999,59.0,38,75,13.8,US,1612551609
247,alta floresta,-9.8756,-56.0861,85.6,69,97,3.85,BR,1612551894
248,qaqortoq,60.7167,-46.0333,21.2,35,1,2.71,GL,1612551894
249,kahului,20.8947,-156.47,69.8,73,20,3.44,US,1612551840
250,pandamatenga,-18.5278,25.627,69.78,92,83,4.07,BW,1612551895
251,vanimo,-2.6741,141.3028,78.01,83,100,5.32,PG,1612551895
252,talnakh,69.4865,88.3972,-26.23,84,93,4.76,RU,1612551895
253,bilma,18.6853,12.9164,67.93,24,0,8.37,NE,1612551895
254,wajima,37.4,136.9,48.85,72,100,24.32,JP,1612551712
255,guiyang,26.5833,106.7167,44.6,100,90,4.47,CN,1612551895
256,mehamn,71.0357,27.8492,32.0,64,75,23.02,NO,1612551678
257,akdepe,42.0551,59.3788,53.6,58,0,11.5,TM,1612551895
258,visby,57.6409,18.296,21.2,73,40,11.5,SE,1612551895
259,kaitangata,-46.2817,169.8464,51.01,87,95,4.0,NZ,1612551822
260,rameshki,57.3439,36.0453,2.12,93,96,8.21,RU,1612551688
261,acari,-15.4311,-74.6158,82.18,47,12,12.3,PE,1612551805
262,rochester,43.1548,-77.6156,37.0,64,75,20.71,US,1612551778
263,hithadhoo,-0.6,73.0833,82.69,77,100,12.91,MV,1612551896
264,lavumisa,-27.31,31.892,73.04,93,62,2.04,SZ,1612551896
265,hirara,24.8,125.2833,69.3,60,89,7.05,JP,1612551844
266,kruisfontein,-34.0033,24.7314,73.0,79,53,4.0,ZA,1612551658
267,mana,5.6592,-53.7767,80.2,77,31,13.73,GF,1612551896
268,aklavik,68.2191,-135.0107,-34.6,67,20,4.61,CA,1612551896
269,novonukutskiy,53.7002,102.7117,-3.82,90,11,2.17,RU,1612551897
270,namibe,-15.1961,12.1522,72.48,77,73,6.85,AO,1612551833
271,newcastle,-32.9272,151.7765,73.0,78,100,8.05,AU,1612551897
272,handia,25.3833,82.1833,60.8,82,75,3.44,IN,1612551738
273,pozhva,59.0912,56.0847,36.09,98,100,13.4,RU,1612551897
274,agropoli,40.3469,14.9966,62.01,65,32,3.0,IT,1612551851
275,vieques,18.425,-65.8329,84.2,65,40,19.57,PR,1612551897
276,portland,45.5234,-122.6762,48.2,87,75,11.5,US,1612551745
277,coihaique,-45.5752,-72.0662,84.2,34,0,6.91,CL,1612551898
278,soyo,-6.1349,12.3689,79.99,85,100,7.83,AO,1612551898
279,amboasary,-25.0333,46.3833,82.4,74,40,11.5,MG,1612551898
280,sivakasi,9.45,77.8167,73.56,75,0,3.18,IN,1612551898
281,izhmorskiy,56.194,86.6414,10.04,95,100,6.22,RU,1612551898
282,souillac,-20.5167,57.5167,80.6,78,40,9.22,MU,1612551898
283,salalah,17.0151,54.0924,75.2,64,40,8.05,OM,1612551665
284,kyabe,9.4515,18.9449,82.29,16,38,5.82,TD,1612551898
285,kaseda,31.4167,130.3167,48.2,87,90,2.3,JP,1612551899
286,mazyr,52.0495,29.2456,16.79,95,0,9.1,BY,1612551899
287,lompoc,34.6391,-120.4579,63.0,47,1,3.44,US,1612551839
288,bima,-8.4667,118.7167,76.73,88,100,2.91,ID,1612551899
289,zhigansk,66.7697,123.3711,-41.55,75,67,3.67,RU,1612551899
